formatted_date,high,low,open,close,volume,adjclose
1992-01-02,3172.63,3139.31,3152.1,3172.4,23550000,3172.4
1992-01-03,3210.64,3165.92,3172.4,3201.5,23620000,3201.5
1992-01-06,3213.33,3191.86,3201.5,3200.1,27280000,3200.1
1992-01-07,3210.2,3184.48,3200.1,3204.8,25510000,3204.8
1992-01-08,3229.2,3185.82,3204.8,3203.9,29040000,3203.9
1992-01-09,3228.31,3192.75,3203.9,3209.5,29820000,3209.5
1992-01-10,3217.13,3185.38,3209.5,3199.5,23440000,3199.5
1992-01-13,3201.25,3179.11,3199.5,3185.6,19300000,3185.6
1992-01-14,3248.88,3182.92,3185.6,3246.2,24220000,3246.2
1992-01-15,3263.42,3232.11,3246.2,3258.5,29560000,3258.5
1992-01-16,3262.75,3222.05,3258.5,3249.6,38100000,3249.6
1992-01-17,3279.96,3243.29,3249.6,3265.0,39780000,3265.0
1992-01-20,3269.9,3245.08,3265.0,3254.0,18190000,3254.0
1992-01-21,3254.47,3215.34,3254.0,3223.4,24160000,3223.4
1992-01-22,3256.04,3216.91,3223.4,3255.8,21590000,3255.8
1992-01-23,3266.99,3222.94,3255.8,3226.7,22140000,3226.7
1992-01-24,3248.43,3216.68,3226.7,3232.8,22600000,3232.8
1992-01-27,3246.65,3230.55,3232.8,3240.6,19110000,3240.6
1992-01-28,3275.49,3239.94,3240.6,3272.1,24960000,3272.1
1992-01-29,3299.19,3218.47,3272.1,3225.0,32500000,3225.0
1992-01-30,3247.32,3216.01,3225.0,3244.9,22080000,3244.9
1992-01-31,3255.37,3222.72,3244.9,3223.4,20610000,3223.4
1992-02-03,3239.04,3213.55,3223.4,3234.1,18860000,3234.1
1992-02-04,3272.81,3229.43,3234.1,3272.8,23970000,3272.8
1992-02-05,3282.2,3251.79,3272.8,3257.6,27360000,3257.6
1992-02-06,3265.65,3238.6,3257.6,3255.6,20490000,3255.6
1992-02-07,3269.9,3207.96,3255.6,3225.4,21660000,3225.4
1992-02-10,3247.99,3223.84,3225.4,3245.1,16100000,3245.1
1992-02-11,3259.62,3236.14,3245.1,3251.6,23400000,3251.6
1992-02-12,3286.0,3244.63,3251.6,3276.8,21580000,3276.8
1992-02-13,3283.99,3236.36,3276.8,3246.7,22200000,3246.7
1992-02-14,3254.7,3221.82,3246.7,3246.0,21260000,3246.0
1992-02-18,3268.56,3219.14,3246.0,3224.7,21970000,3224.7
1992-02-19,3241.73,3215.34,3224.7,3230.3,22930000,3230.3
1992-02-20,3283.77,3230.55,3230.6,3280.6,25840000,3280.6
1992-02-21,3286.67,3252.91,3280.6,3280.2,26840000,3280.2
1992-02-24,3289.8,3266.1,3280.2,3282.4,17880000,3282.4
1992-02-25,3282.2,3240.38,3282.2,3257.8,20980000,3257.8
1992-02-26,3290.92,3254.47,3257.8,3283.3,21160000,3283.3
1992-02-27,3286.9,3265.88,3283.3,3269.5,18710000,3269.5
1992-02-28,3293.38,3259.39,3269.5,3267.7,17960000,3267.7
1992-03-02,3276.62,3261.4,3267.7,3275.3,17220000,3275.3
1992-03-03,3295.62,3272.81,3275.3,3290.3,19520000,3290.3
1992-03-04,3299.64,3268.56,3290.3,3268.6,22800000,3268.6
1992-03-05,3268.34,3235.69,3268.3,3241.5,18220000,3241.5
1992-03-06,3252.01,3213.77,3241.5,3221.6,18460000,3221.6
1992-03-09,3227.19,3211.31,3221.6,3215.1,16530000,3215.1
1992-03-10,3248.21,3214.67,3215.1,3231.0,20730000,3231.0
1992-03-11,3233.45,3198.35,3231.0,3208.6,17670000,3208.6
1992-03-12,3213.1,3188.28,3208.6,3208.6,18080000,3208.6
1992-03-13,3237.03,3208.18,3208.6,3235.9,16370000,3235.9
1992-03-16,3236.58,3208.41,3235.9,3236.4,15050000,3236.4
1992-03-17,3260.06,3235.91,3236.4,3256.0,18020000,3256.0
1992-03-18,3271.91,3246.2,3256.0,3254.3,17890000,3254.3
1992-03-19,3269.9,3251.15,3254.3,3261.4,17170000,3261.4
1992-03-20,3277.28,3255.81,3261.4,3276.4,28640000,3276.4
1992-03-23,3275.94,3261.18,3275.9,3272.1,15690000,3272.1
1992-03-24,3284.44,3249.11,3272.1,3261.0,24380000,3261.0
1992-03-25,3276.39,3251.12,3261.0,3259.4,18960000,3259.4
1992-03-26,3275.04,3251.34,3259.4,3267.7,18120000,3267.7
1992-03-27,3268.11,3226.52,3267.7,3231.4,15140000,3231.4
1992-03-30,3248.88,3229.43,3231.4,3235.2,12640000,3235.2
1992-03-31,3260.73,3228.98,3235.2,3235.5,15110000,3235.5
1992-04-01,3252.24,3215.34,3235.5,3249.3,18840000,3249.3
1992-04-02,3259.62,3220.26,3249.3,3234.1,19020000,3234.1
1992-04-03,3250.89,3211.31,3234.1,3249.1,21150000,3249.1
1992-04-06,3276.83,3249.3,3249.3,3275.5,20110000,3275.5
1992-04-07,3279.29,3211.09,3275.5,3213.6,22490000,3213.6
1992-04-08,3213.6,3161.23,3213.6,3181.4,29710000,3181.4
1992-04-09,3231.66,3181.8,3181.8,3225.0,24490000,3225.0
