formatted_date,high,low,open,close,volume,adjclose
1990-01-02,359.69,351.98,353.4,359.69,162070000,359.69
1990-01-03,360.59,357.89,359.69,358.76,192330000,358.76
1990-01-04,358.76,352.89,358.76,355.67,177000000,355.67
1990-01-05,355.67,351.35,355.67,352.2,158530000,352.2
1990-01-08,354.24,350.54,352.2,353.79,140110000,353.79
1990-01-09,354.17,349.61,353.83,349.62,155210000,349.62
1990-01-10,349.62,344.32,349.62,347.31,175990000,347.31
1990-01-11,350.14,347.31,347.31,348.53,154390000,348.53
1990-01-12,348.53,339.49,348.53,339.93,183880000,339.93
1990-01-15,339.94,336.57,339.93,337.0,140590000,337.0
1990-01-16,340.75,333.37,337.0,340.75,186070000,340.75
1990-01-17,342.01,336.26,340.77,337.4,170470000,337.4
1990-01-18,338.38,333.98,337.4,338.19,178590000,338.19
1990-01-19,340.48,338.19,338.19,339.15,185590000,339.15
1990-01-22,339.96,330.28,339.14,330.38,148380000,330.38
1990-01-23,332.76,328.67,330.38,331.61,179300000,331.61
1990-01-24,331.71,324.17,331.61,330.26,207830000,330.26
1990-01-25,332.33,325.33,330.26,326.08,172270000,326.08
1990-01-26,328.58,321.44,326.09,325.8,198190000,325.8
1990-01-29,327.31,321.79,325.8,325.2,150770000,325.2
1990-01-30,325.73,319.83,325.2,322.98,186030000,322.98
1990-01-31,329.08,322.98,322.98,329.08,189660000,329.08
1990-02-01,329.86,327.76,329.08,328.79,154580000,328.79
1990-02-02,332.1,328.09,328.79,330.92,164400000,330.92
1990-02-05,332.16,330.45,330.92,331.85,130950000,331.85
1990-02-06,331.86,328.2,331.85,329.66,134070000,329.66
1990-02-07,333.76,326.55,329.66,333.75,186710000,333.75
1990-02-08,336.09,332.0,333.75,332.96,176240000,332.96
1990-02-09,334.6,332.41,333.02,333.62,146910000,333.62
1990-02-12,333.62,329.97,333.62,330.08,118390000,330.08
1990-02-13,331.61,327.92,330.08,331.02,144490000,331.02
1990-02-14,333.2,330.64,331.02,332.01,138530000,332.01
1990-02-15,335.21,331.61,332.01,334.89,174620000,334.89
1990-02-16,335.64,332.42,334.89,332.72,166840000,332.72
1990-02-20,332.72,326.26,332.72,327.99,147300000,327.99
1990-02-21,328.17,324.47,327.91,327.67,159240000,327.67
1990-02-22,330.98,325.7,327.67,325.7,184320000,325.7
1990-02-23,326.15,322.1,325.7,324.15,148490000,324.15
1990-02-26,328.67,323.98,324.16,328.67,148900000,328.67
1990-02-27,331.94,328.47,328.68,330.26,152590000,330.26
1990-02-28,333.48,330.16,330.26,331.89,184400000,331.89
1990-03-01,334.4,331.08,331.89,332.74,157930000,332.74
1990-03-02,335.54,332.72,332.74,335.54,164330000,335.54
1990-03-05,336.38,333.49,335.54,333.74,140110000,333.74
1990-03-06,337.93,333.57,333.74,337.93,143640000,337.93
1990-03-07,338.84,336.33,337.93,336.95,163580000,336.95
1990-03-08,340.66,336.95,336.95,340.27,170900000,340.27
1990-03-09,340.27,336.84,340.12,337.93,150410000,337.93
1990-03-12,339.08,336.14,337.93,338.67,114790000,338.67
1990-03-13,338.67,335.36,338.67,336.0,145440000,336.0
1990-03-14,337.63,334.93,336.0,336.87,145060000,336.87
1990-03-15,338.91,336.87,336.87,338.07,144410000,338.07
1990-03-16,341.91,338.07,338.07,341.91,222520000,341.91
1990-03-19,343.76,339.12,341.91,343.53,142300000,343.53
1990-03-20,344.49,340.87,343.53,341.57,177320000,341.57
1990-03-21,342.34,339.56,341.57,339.74,130990000,339.74
1990-03-22,339.77,333.62,339.74,335.69,175930000,335.69
1990-03-23,337.58,335.69,335.69,337.22,132070000,337.22
1990-03-26,339.74,337.22,337.22,337.63,116110000,337.63
1990-03-27,341.5,337.03,337.63,341.5,131610000,341.5
1990-03-28,342.58,340.6,341.5,342.0,142300000,342.0
1990-03-29,342.07,339.77,342.0,340.79,132190000,340.79
1990-03-30,341.41,338.21,340.79,339.94,139340000,339.94
1990-04-02,339.94,336.33,339.94,338.7,124360000,338.7
1990-04-03,343.76,338.7,338.7,343.64,154310000,343.64
1990-04-04,344.12,340.4,343.64,341.09,159530000,341.09
1990-04-05,342.85,340.63,341.09,340.73,144170000,340.73
1990-04-06,341.73,338.94,340.73,340.08,137490000,340.08
1990-04-09,341.83,339.88,340.08,341.37,114970000,341.37
1990-04-10,342.41,340.62,341.37,342.07,136020000,342.07
1990-04-11,343.0,341.26,342.07,341.92,141080000,341.92
1990-04-12,344.79,341.91,341.92,344.34,142470000,344.34
1990-04-16,347.3,344.1,344.34,344.74,142810000,344.74
1990-04-17,345.19,342.06,344.74,344.68,127990000,344.68
1990-04-18,345.33,340.11,344.68,340.72,147130000,340.72
1990-04-19,340.72,337.59,340.72,338.09,152930000,338.09
1990-04-20,338.52,333.41,338.09,335.12,174260000,335.12
1990-04-23,335.12,330.09,335.12,331.05,136150000,331.05
1990-04-24,332.97,329.71,331.05,330.36,137360000,330.36
1990-04-25,332.74,330.36,330.36,332.03,133480000,332.03
1990-04-26,333.76,330.67,332.03,332.92,141330000,332.92
1990-04-27,333.57,328.71,332.92,329.11,130630000,329.11
1990-04-30,331.31,327.76,329.11,330.8,122750000,330.8
1990-05-01,332.83,330.8,330.8,332.25,149020000,332.25
1990-05-02,334.48,332.15,332.25,334.48,141610000,334.48
1990-05-03,337.02,334.47,334.48,335.57,145560000,335.57
1990-05-04,338.46,335.17,335.58,338.39,140550000,338.39
1990-05-07,341.07,338.11,338.39,340.53,132760000,340.53
1990-05-08,342.03,340.17,340.53,342.01,144230000,342.01
1990-05-09,343.08,340.9,342.01,342.86,152220000,342.86
1990-05-10,344.98,342.77,342.87,343.82,158460000,343.82
1990-05-11,352.31,343.82,343.82,352.0,234040000,352.0
1990-05-14,358.41,351.95,352.0,354.75,225410000,354.75
1990-05-15,355.09,352.84,354.75,354.28,165730000,354.28
1990-05-16,354.68,351.95,354.27,354.0,159810000,354.0
1990-05-17,356.92,354.0,354.0,354.47,164770000,354.47
1990-05-18,354.64,352.52,354.47,354.64,162520000,354.64
1990-05-21,359.07,353.78,354.64,358.0,166280000,358.0
1990-05-22,360.5,356.09,358.0,358.43,203350000,358.43
1990-05-23,359.29,356.99,358.43,359.29,172330000,359.29
1990-05-24,359.56,357.87,359.29,358.41,155140000,358.41
1990-05-25,358.41,354.32,358.41,354.58,120250000,354.58
1990-05-29,360.65,354.55,354.58,360.65,137410000,360.65
1990-05-30,362.26,360.0,360.65,360.86,199540000,360.86
1990-05-31,361.84,360.23,360.86,361.23,165690000,361.23
1990-06-01,363.52,361.21,361.26,363.16,187860000,363.16
1990-06-04,367.85,362.43,363.16,367.4,175520000,367.4
1990-06-05,368.78,365.49,367.4,366.64,199720000,366.64
1990-06-06,366.64,364.42,366.64,364.96,164030000,364.96
1990-06-07,365.92,361.6,365.92,363.15,160360000,363.15
1990-06-08,363.49,357.68,363.15,358.71,142600000,358.71
1990-06-11,361.63,357.7,358.71,361.63,119550000,361.63
1990-06-12,367.27,361.15,361.63,366.25,157100000,366.25
1990-06-13,367.09,364.51,366.25,364.9,158910000,364.9
1990-06-14,364.9,361.64,364.9,362.9,135770000,362.9
1990-06-15,363.14,360.71,362.89,362.91,205130000,362.91
1990-06-18,362.91,356.88,362.91,356.88,133470000,356.88
1990-06-19,358.9,356.18,356.88,358.47,134930000,358.47
1990-06-20,359.91,357.0,358.47,359.1,137420000,359.1
1990-06-21,360.88,357.63,359.1,360.47,138570000,360.47
1990-06-22,363.2,355.31,360.52,355.43,172570000,355.43
1990-06-25,356.41,351.91,355.42,352.31,133100000,352.31
1990-06-26,356.09,351.85,352.32,352.06,141420000,352.06
