formatted_date,high,low,open,close,volume,adjclose
1990-01-02,459.3,452.7,452.9,459.3,110720000,459.3
1990-01-03,461.6,460.0,461.1,460.9,152660000,460.9
1990-01-04,460.8,456.9,460.4,459.4,147950000,459.4
1990-01-05,459.4,457.8,457.9,458.2,137230000,458.2
1990-01-08,458.7,456.5,457.1,458.7,115500000,458.7
1990-01-09,459.6,456.6,459.2,456.8,131130000,456.8
1990-01-10,456.3,450.6,455.1,450.7,143890000,450.7
1990-01-11,452.5,448.8,451.7,448.9,133000000,448.9
1990-01-12,446.6,439.3,442.7,439.7,143500000,439.7
1990-01-15,439.4,436.4,438.2,436.6,108060000,436.6
1990-01-16,440.2,432.1,432.9,440.2,147590000,440.2
1990-01-17,442.5,438.5,440.5,438.7,139150000,438.7
1990-01-18,437.8,435.6,436.2,437.5,136330000,437.5
1990-01-19,441.2,439.2,440.5,440.9,152170000,440.9
1990-01-22,440.7,431.7,439.7,431.9,130490000,431.9
1990-01-23,433.8,428.9,432.5,430.4,141440000,430.4
1990-01-24,427.2,419.8,419.9,425.7,163430000,425.7
1990-01-25,429.0,425.1,428.3,425.2,130500000,425.2
1990-01-26,425.9,419.5,424.2,421.3,136340000,421.3
1990-01-29,422.9,416.5,422.8,418.1,118590000,418.1
1990-01-30,417.5,410.0,416.2,410.7,160160000,410.7
1990-01-31,415.9,411.3,412.2,415.8,148000000,415.8
1990-02-01,417.9,416.2,416.8,417.8,135470000,417.8
1990-02-02,423.3,417.6,418.8,422.2,135020000,422.2
1990-02-05,424.8,422.4,422.9,424.7,108350000,424.7
1990-02-06,425.2,422.2,425.0,424.0,119700000,424.0
1990-02-07,426.9,421.8,422.0,426.8,149300000,426.8
1990-02-08,430.2,427.1,428.8,427.3,140030000,427.3
1990-02-09,429.1,427.5,428.7,428.8,125330000,428.8
1990-02-12,428.8,425.8,428.8,426.4,113030000,426.4
1990-02-13,427.0,423.9,425.3,425.8,127230000,425.8
1990-02-14,427.2,425.5,426.8,426.6,139540000,426.6
1990-02-15,429.7,425.9,426.3,429.6,152380000,429.6
1990-02-16,430.9,428.9,430.0,429.0,120220000,429.0
1990-02-20,427.9,421.8,425.4,423.8,108280000,423.8
1990-02-21,421.9,418.4,418.9,421.5,120100000,421.5
1990-02-22,425.1,422.2,422.6,422.8,134870000,422.8
1990-02-23,421.5,418.1,421.1,419.5,117220000,419.5
1990-02-26,421.0,418.7,419.5,421.0,114600000,421.0
1990-02-27,423.5,421.4,422.1,422.6,130850000,422.6
1990-02-28,425.8,422.6,423.3,425.8,129400000,425.8
1990-03-01,427.7,424.5,425.3,427.2,134240000,427.2
1990-03-02,431.0,427.6,428.2,431.0,132370000,431.0
1990-03-05,431.2,429.4,430.8,430.2,111000000,430.2
1990-03-06,432.6,428.6,429.3,432.3,139150000,432.3
1990-03-07,433.5,432.1,433.1,432.5,167550000,432.5
1990-03-08,436.6,432.6,433.6,436.5,145730000,436.5
1990-03-09,437.1,435.4,437.0,436.8,135120000,436.8
1990-03-12,436.6,435.0,435.3,436.6,103840000,436.6
1990-03-13,437.0,434.6,436.1,434.6,123620000,434.6
1990-03-14,436.4,434.5,435.7,436.2,122180000,436.2
1990-03-15,438.4,436.3,436.7,438.1,128680000,438.1
1990-03-16,443.1,439.6,440.4,442.2,176040000,442.2
1990-03-19,442.9,439.0,440.4,442.9,129400000,442.9
1990-03-20,443.3,439.7,443.2,440.1,142220000,440.1
1990-03-21,440.9,439.2,439.6,439.3,131080000,439.3
1990-03-22,439.3,433.2,439.2,434.5,146220000,434.5
1990-03-23,437.8,435.2,436.1,437.3,130740000,437.3
1990-03-26,440.0,438.1,438.8,438.8,96280000,438.8
1990-03-27,439.7,437.0,437.7,439.5,106910000,439.5
1990-03-28,439.2,435.7,437.0,436.7,132260000,436.7
1990-03-29,436.7,434.6,436.2,435.4,124190000,435.4
1990-03-30,436.0,433.2,434.7,435.5,126630000,435.5
1990-04-02,434.1,430.8,431.6,433.2,111380000,433.2
1990-04-03,437.7,434.0,434.7,437.7,134750000,437.7
1990-04-04,438.3,434.9,438.2,435.4,138380000,435.4
1990-04-05,433.42,433.42,433.42,433.42,134240000,433.42
1990-04-06,433.9,430.6,433.0,430.9,136570000,430.9
1990-04-09,431.2,429.9,430.6,430.2,112370000,430.2
1990-04-10,432.1,429.9,430.0,431.9,129500000,431.9
1990-04-11,433.8,432.3,432.6,433.5,133820000,433.5
1990-04-12,436.8,434.3,435.1,436.3,141410000,436.3
1990-04-16,438.5,436.2,438.4,436.7,124650000,436.7
1990-04-17,435.9,433.5,434.0,435.4,136450000,435.4
1990-04-18,436.1,431.3,435.5,431.5,149750000,431.5
1990-04-19,431.0,428.9,430.2,429.0,145640000,429.0
1990-04-20,429.8,424.9,429.7,425.8,150320000,425.8
1990-04-23,425.3,418.2,423.4,420.1,125990000,420.1
1990-04-24,422.3,418.7,421.7,419.2,126790000,419.2
1990-04-25,420.7,419.2,420.0,420.6,121710000,420.6
1990-04-26,422.0,419.4,421.7,421.1,115930000,421.1
1990-04-27,421.4,417.5,420.6,418.0,116010000,418.0
1990-04-30,420.1,417.0,417.5,420.1,105790000,420.1
1990-05-01,422.2,420.7,422.0,421.9,124130000,421.9
1990-05-02,423.6,422.3,422.8,423.6,143260000,423.6
1990-05-03,426.6,424.4,425.0,425.4,160850000,425.4
1990-05-04,428.6,425.7,427.4,428.6,136810000,428.6
1990-05-07,431.6,429.1,429.3,431.2,122690000,431.2
1990-05-08,431.9,430.7,431.1,431.8,133840000,431.8
1990-05-09,431.9,430.5,431.4,431.3,146630000,431.3
1990-05-10,433.5,431.1,431.8,433.2,142490000,433.2
1990-05-11,438.2,433.8,434.5,438.1,167560000,438.1
